Z	A	FPS	Yield	Uncertainty					
41	110	0	5.54E-07	3.55E-07					
44	110	0	2.32E-04	1.49E-04					
45	110	0	1.33E-06	8.51E-07					
47	110	0	2.40E-14	1.54E-14					
42	110	0	1.12E-04	7.14E-05					
43	110	0	3.05E-04	1.95E-04					
45	110	1	1.33E-06	8.51E-07					
46	110	0	5.08E-09	3.25E-09					
47	110	1	6.48E-14	4.15E-14					
42	111	0	6.98E-06	4.47E-06					
43	111	0	1.20E-04	7.65E-05					
45	111	0	2.08E-05	1.33E-05					
46	111	0	5.17E-08	3.31E-08					
47	111	0	2.88E-12	1.84E-12					
40	111	0	9.55E-14	6.11E-14					
41	111	0	2.94E-09	1.88E-09					
44	111	0	2.78E-04	1.78E-04					
46	111	1	1.15E-07	7.36E-08					
47	111	1	2.11E-11	1.35E-11					
40	112	0	6.04E-15	3.86E-15					
41	112	0	1.38E-10	8.81E-11					
44	112	0	2.88E-04	1.85E-04					
46	112	0	2.98E-06	1.91E-06					
47	112	0	1.51E-09	9.66E-10					
48	112	0	1.15E-13	7.36E-14					
42	112	0	4.41E-07	2.82E-07					
43	112	0	2.47E-05	1.58E-05					
45	112	0	6.05E-05	3.87E-05					
42	113	0	4.41E-09	2.82E-09					
43	113	0	4.85E-06	3.10E-06					
45	113	0	1.46E-04	9.36E-05					
47	113	1	5.72E-08	3.66E-08					
48	113	1	1.35E-11	8.64E-12					
41	113	0	6.63E-14	4.25E-14					
44	113	0	1.55E-04	9.89E-05					
46	113	0	2.04E-05	1.31E-05					
47	113	0	7.80E-09	4.99E-09					
48	113	0	3.59E-12	2.30E-12					
41	114	0	5.10E-15	3.26E-15					
44	114	0	7.07E-05	4.53E-05					
46	114	0	9.57E-05	6.12E-05					
42	114	0	4.58E-10	2.93E-10					
43	114	0	4.50E-07	2.88E-07					
45	114	0	1.55E-04	9.93E-05					
47	114	0	8.58E-07	5.49E-07					
48	114	0	1.26E-09	8.06E-10					
49	114	1	1.31E-14	8.38E-15					
42	115	0	1.34E-10	8.59E-11					
43	115	0	1.47E-07	9.43E-08					
45	115	0	1.35E-04	8.65E-05					
47	115	0	3.72E-06	2.38E-06					
48	115	0	6.44E-09	4.12E-09					
49	115	0	1.82E-12	1.16E-12					
41	115	0	2.02E-15	1.29E-15					
44	115	0	1.44E-05	9.21E-06					
46	115	0	1.82E-04	1.16E-04					
47	115	1	3.72E-06	2.38E-06					
48	115	1	2.42E-08	1.55E-08					
49	115	1	3.73E-13	2.39E-13					
44	116	0	2.03E-06	1.30E-06					
46	116	0	2.63E-04	1.69E-04					
47	116	0	1.30E-05	8.33E-06					
48	116	0	5.45E-07	3.49E-07					
49	116	2	3.88E-11	2.48E-11					
49	116	1	3.88E-11	2.48E-11					
42	116	0	5.85E-14	3.74E-14					
43	116	0	9.15E-10	5.86E-10					
45	116	0	4.81E-05	3.08E-05					
47	116	1	1.30E-05	8.33E-06					
49	116	0	3.88E-11	2.48E-11					
42	117	0	2.08E-15	1.33E-15					
43	117	0	6.41E-11	4.10E-11					
45	117	0	1.85E-05	1.18E-05					
47	117	0	5.09E-05	3.26E-05					
48	117	1	4.59E-06	2.94E-06					
49	117	1	1.16E-09	7.42E-10					
50	117	0	3.19E-13	2.04E-13					
44	117	0	1.52E-07	9.72E-08					
46	117	0	2.42E-04	1.55E-04					
47	117	1	5.09E-05	3.26E-05					
48	117	0	1.22E-06	7.81E-07					
49	117	0	5.68E-09	3.64E-09					
50	117	1	3.19E-13	2.04E-13					
44	118	0	6.89E-09	4.41E-09					
46	118	0	1.51E-04	9.65E-05					
47	118	0	7.23E-05	4.63E-05					
49	118	0	1.03E-07	6.59E-08					
43	118	0	7.67E-14	4.91E-14					
