Z	A	FPS	Yield	Uncertainty					
51	123	0	5.17E-08	3.31E-08					
52	123	1	1.72E-11	1.10E-11					
45	123	0	8.52E-14	5.45E-14					
46	123	0	3.99E-09	2.55E-09					
48	123	0	1.01E-04	6.46E-05					
49	123	1	2.51E-06	1.61E-06					
50	123	1	3.10E-06	9.92E-07					
52	123	0	5.14E-12	3.29E-12					
45	124	0	1.04E-14	6.66E-15					
46	124	0	2.73E-09	1.75E-09					
48	124	0	1.21E-04	5.46E-05					
49	124	1	1.70E-05	1.09E-05					
50	124	0	1.07E-04	6.84E-05					
51	124	0	7.61E-08	4.87E-08					
47	124	0	5.52E-06	3.53E-06					
49	124	0	1.70E-05	1.09E-05					
51	124	2	1.21E-08	7.74E-09					
51	124	1	1.21E-08	7.74E-09					
52	124	0	3.42E-09	2.19E-09					
47	125	0	1.66E-11	1.06E-11					
49	125	0	4.72E-05	1.51E-05					
50	125	1	1.05E-04	1.67E-05					
51	125	0	2.74E-07	1.75E-07					
52	125	0	6.88E-14	4.40E-14					
48	125	0	5.55E-05	3.55E-05					
49	125	1	4.72E-05	1.51E-05					
50	125	0	8.54E-05	6.83E-06					
52	125	1	2.30E-13	1.47E-13					
48	126	0	8.08E-05	5.17E-05					
49	126	1	1.65E-05	1.05E-05					
51	126	0	6.51E-06	4.17E-06					
52	126	0	8.25E-12	5.28E-12					
47	126	0	4.75E-12	3.04E-12					
49	126	0	1.65E-05	1.05E-05					
50	126	0	4.45E-04	2.85E-04					
51	126	2	8.59E-06	5.50E-06					
51	126	1	8.59E-06	5.50E-06					
53	126	0	1.70E-12	1.09E-12					
47	127	0	1.58E-12	1.01E-12					
49	127	0	4.12E-04	1.32E-04					
50	127	0	8.67E-04	5.20E-05					
51	127	0	7.09E-05	1.63E-05					
52	127	1	2.43E-10	1.56E-10					
48	127	0	8.15E-05	5.22E-05					
49	127	1	6.25E-05	2.81E-05					
50	127	1	7.92E-05	5.07E-05					
52	127	0	9.92E-11	6.35E-11					
48	128	0	3.55E-05	2.27E-05					
49	128	1	1.31E-04	8.41E-05					
50	128	1	0.0015049	9.63E-04					
51	128	1	6.37E-05	4.07E-05					
53	128	0	1.04E-08	6.66E-09					
54	128	0	8.33E-13	2.67E-13					
46	128	0	1.34E-14	8.58E-15					
47	128	0	1.12E-13	7.17E-14					
49	128	0	1.31E-04	8.41E-05					
50	128	0	0.0015049	9.63E-04					
51	128	0	1.07E-04	6.83E-05					
52	128	0	1.72E-06	5.50E-07					
47	129	0	2.92E-17	1.87E-17					
49	129	0	2.75E-04	1.24E-04					
50	129	0	0.00230314	2.53E-04					
52	129	0	5.73E-08	3.67E-08					
48	129	0	7.24E-09	4.63E-09					
49	129	1	2.53E-04	1.62E-04					
50	129	1	0.00195858	1.18E-04					
51	129	0	6.41E-04	2.88E-04					
52	129	1	1.40E-07	8.96E-08					
46	130	0	6.79E-13	4.35E-13					
48	130	0	8.78E-04	5.62E-04					
49	130	2	3.14E-05	2.01E-05					
49	130	0	3.14E-05	2.01E-05					
50	130	1	0.00542239	0.00347033					
51	130	0	0.0021451	0.00137286					
52	130	0	5.79E-04	9.26E-05					
53	130	1	6.66E-07	4.26E-07					
47	130	0	6.66E-08	4.26E-08					
49	130	1	3.14E-05	2.01E-05					
50	130	0	0.00542239	0.00347033					
51	130	1	0.00356752	0.00228321					
53	130	0	1.55E-06	9.92E-07					
54	130	0	1.97E-10	6.30E-11					
47	131	0	1.59E-09	1.02E-09					
49	131	0	5.56E-05	3.56E-05					
50	131	1	0.004405	0.0028192					
51	131	0	0.0165069	6.60E-04					
52	131	1	0.00233331	1.87E-04					
54	131	0	1.42E-09	9.09E-10					
55	131	0	2.54E-14	1.63E-14					
48	131	0	1.38E-04	8.82E-05					
49	131	1	5.56E-05	3.56E-05					
50	131	0	0.004405	0.0028192					
52	131	0	9.70E-04	1.07E-04					
53	131	0	3.92E-05	4.31E-06					
54	131	1	3.48E-09	2.23E-09					
50	132	0	0.00591824	2.37E-04					
51	132	1	0.00862766	5.18E-04					
53	132	1	9.13E-05	5.84E-05					
54	132	0	4.22E-07	2.70E-07					
49	132	0	6.23E-05	1.99E-05					
51	132	0	0.0130348	7.82E-04					
52	132	0	0.0153084	9.19E-04					
53	132	0	9.13E-05	5.84E-05					
55	132	0	7.38E-10	4.72E-10					
48	133	0	4.49E-11	2.87E-11					
49	133	0	1.71E-06	1.09E-06					
52	133	0	0.0114813	6.89E-04					
53	133	1	8.25E-04	5.28E-04					
54	133	1	1.89E-05	1.21E-05					
55	133	0	7.92E-09	2.53E-09					
56	133	0	1.04E-14	6.66E-15					
50	133	0	0.0013772	8.81E-04					
51	133	0	0.0225655	0.00135393					
52	133	1	0.0298605	0.00179163					
53	133	0	8.25E-04	5.28E-04					
54	133	0	6.66E-06	4.00E-07					
50	134	0	1.77E-04	1.13E-04					
51	134	1	0.00358248	0.00229279					
52	134	0	0.062155	0.0024862					
53	134	0	0.00500237	3.00E-04					
54	134	1	2.46E-04	1.58E-04					
55	134	0	3.85E-08	2.47E-08					
